GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logprocessor,dev.coms4156.project.logprocessor.controller,AnalyticsController,0,50,0,4,0,10,0,6,0,4
logprocessor,dev.coms4156.project.logprocessor.controller,LogController,22,86,3,9,5,19,4,7,2,3
logprocessor,dev.coms4156.project.logprocessor.controller,SecurityController,0,37,0,4,0,9,0,4,0,2
logprocessor,dev.coms4156.project.logprocessor.model,LogEntry,32,66,0,0,16,23,8,12,8,12
logprocessor,dev.coms4156.project.logprocessor,LogProcessorApplication,5,3,0,0,2,1,1,1,1,1
logprocessor,dev.coms4156.project.logprocessor.service,LogService,5,286,0,12,2,63,1,16,1,10
logprocessor,dev.coms4156.project.logprocessor.service,ApiKeyFilter,10,24,2,2,3,6,2,2,0,2
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient,735,0,24,0,178,0,30,0,18,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new BarRenderer() {...},24,0,4,0,5,0,4,0,2,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new BarRenderer() {...},101,0,4,0,16,0,5,0,3,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
logprocessor,dev.coms4156.project.logprocessor.client,LogProcessorClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
